OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-3397460,"1858,716392","2216,000243","2211,196412","1992,287442","1989,515517","1930,655689","1994,79166","1788,567886","2080,400537","1981,675886","1801,61135","1877,753637","1744,271987","1734,963988","1872,262441","2348,944978","1939,485304","1927,924005","1934,579134","1952,909448","1642,367589"
-3397459,"3277,530574","3445,853085","3485,153892","3121,689806","3234,324945","2725,296793","3014,3409","3098,666888","3014,788774","2245,238263","2528,193973","2421,900536","3120,252485","2656,923576","2828,76643","3523,671681","2971,559574","2695,71862","2443,399183","2828,997465","2469,793576"
-3397458,"3308,667796","3450,96754","3455,443181","3272,81506","3181,23658","2876,884024","3195,818295","3173,550722","2840,527531","2378,58207","2836,995004","2680,906197","3140,382565","2750,334305","2666,048206","4009,017496","3123,787528","2883,481859","2717,598432","2917,831046","2636,90671"
-3397457,"3100,031899","3306,266001","3120,344029","3098,23594","2839,342335","2684,430012","3010,125871","3038,008216","2598,165988","2260,519241","2816,82906","2761,45255","2919,32975","2728,198596","2593,873801","3865,443632","3107,288356","2717,520857","2591,250619","2563,409687","2484,110803"
-3397456,"3096,655415","3206,214062","3323,603978","3049,174206","2873,835384","2589,111207","2826,694778","2862,613892","2839,690967","2263,279644","2572,51936","2442,776532","2762,184183","2667,427789","2685,912668","3677,15692","2938,915572","2699,429114","2545,397352","2742,671653","2387,128581"
-3397455,"2814,206693","2948,285868","3095,598993","2762,338628","2626,463091","2358,271123","2635,188741","2482,512721","2752,558648","2178,118539","2313,654286","2259,319145","2537,102401","2389,284912","2543,284821","3290,754125","2862,131349","2462,183087","2220,065823","2503,152812","2220,296423"
-3397454,"3575,150846","3882,962004","3963,942797","3862,453873","3341,645801","3338,277185","3511,132146","3672,197187","3317,174361","2635,217917","3267,580697","2886,246022","3655,557747","2962,477296","3169,984077","4003,156731","3384,255633","3305,101456","2945,793683","3503,736443","3027,729919"
-3397453,"3328,516102","3535,36214","3554,290133","3345,42371","3300,920645","2924,47822","3120,526255","3380,07578","3204,382837","2449,855423","2815,214898","2613,391228","3427,852086","2784,651246","3006,29284","3600,422933","3030,349706","2896,061364","2604,671479","3142,672052","2811,822306"
-3397452,"1973,23738","2377,261186","2117,749346","2136,783076","2105,188965","1919,584092","1954,669672","1831,846223","2041,059299","1826,325843","1841,575938","1887,612772","1957,816219","1874,244767","1897,481307","2259,341562","2003,891237","2034,024583","1986,438875","2042,938978","1705,177475"
-3397451,"1807,220753","2351,330541","2383,457348","2073,597745","1960,548883","1897,350984","2275,484736","1823,370206","2051,567445","1889,305742","2035,931838","1848,425496","1758,782276","1749,107451","2071,850783","2875,400494","2276,607394","1910,822728","1925,688517","1858,189755","1704,294135"
-3397450,"2722,45323","2997,224408","3038,085274","2704,650602","2879,155954","2435,526975","2598,253638","2519,719272","2622,450923","2209,179796","2480,020305","2319,119639","2654,664995","2335,964445","2532,886452","2987,876897","2747,715826","2421,790687","2275,354995","2637,504691","2128,167263"
-3389531,"3503,538106","3714,289331","3711,925069","3491,714062","3184,778968","3058,552381","3269,25178","3314,137335","3298,988365","2444,447419","2814,513659","2562,726122","3372,66558","2949,633093","3124,973443","3903,641431","3150,43768","3035,428928","2777,856557","3262,598859","2913,198164"
-215684,"3341,437991","3506,04698","3680,271148","3318,45534","3098,935652","2891,316502","3103,857785","3218,681189","3202,330533","2408,945932","2960,801204","2640,337269","3346,143248","2892,05712","2974,059461","3891,993779","3101,503657","3067,009915","2910,427212","3224,719956","2838,870405"
-1957535,"5326,045136","5570,302243","5105,104907","5431,906568","5443,259363","5324,826997","5425,856749","5456,443529","5303,370467","5097,04146","5254,723827","5387,038924","5580,798896","5124,591891","4924,859198","5712,979087","5647,236367","5320,815234","5042,339978","5379,144388","5473,355034"
