,airports,dates,day_before
106,RIC,2008-01-01 10:31:00,10.516666666666667
107,IAD,2008-01-01 10:32:00,10.533333333333333
108,MEM,2008-01-01 10:33:00,10.55
109,MFE,2008-01-01 10:33:00,10.55
110,MLU,2008-01-01 10:33:00,10.55
111,SBP,2008-01-01 10:35:00,10.583333333333334
112,ASE,2008-01-01 10:36:00,10.6
113,LIT,2008-01-01 10:36:00,10.6
114,LGA,2008-01-01 10:36:00,10.6
115,COS,2008-01-01 10:37:00,10.616666666666667
116,LGB,2008-01-01 10:37:00,10.616666666666667
117,AVL,2008-01-01 10:37:00,10.616666666666667
118,SAN,2008-01-01 10:38:00,10.633333333333333
119,PHX,2008-01-01 10:38:00,10.633333333333333
120,SGF,2008-01-01 10:38:00,10.633333333333333
121,SRQ,2008-01-01 10:39:00,10.65
122,SEA,2008-01-01 10:39:00,10.65
123,MLI,2008-01-01 10:40:00,10.666666666666666
124,DTW,2008-01-01 10:41:00,10.683333333333334
125,SUN,2008-01-01 10:41:00,10.683333333333334
126,MSP,2008-01-01 10:42:00,10.7
127,DEN,2008-01-01 10:42:00,10.7
128,MSP,2008-01-01 10:43:00,10.716666666666667
129,MAF,2008-01-01 10:43:00,10.716666666666667
130,PIA,2008-01-01 10:43:00,10.716666666666667
131,IND,2008-01-01 10:47:00,10.783333333333333
132,MLI,2008-01-01 10:48:00,10.8
133,CHA,2008-01-01 10:48:00,10.8
134,SPS,2008-01-01 10:48:00,10.8
135,PDX,2008-01-01 10:49:00,10.816666666666666
136,JFK,2008-01-01 10:51:00,10.85
137,DAL,2008-01-01 10:52:00,10.866666666666667
138,FAT,2008-01-01 10:53:00,10.883333333333333
139,ACT,2008-01-01 10:54:00,10.9
140,TYS,2008-01-01 10:55:00,10.916666666666666
141,DEN,2008-01-01 10:56:00,10.933333333333334
142,BMI,2008-01-01 10:56:00,10.933333333333334
143,SEA,2008-01-01 10:56:00,10.933333333333334
144,EGE,2008-01-01 10:56:00,10.933333333333334
145,BTR,2008-01-01 10:57:00,10.95
146,CWA,2008-01-01 10:58:00,10.966666666666667
147,ONT,2008-01-01 10:58:00,10.966666666666667
148,PIT,2008-01-01 10:58:00,10.966666666666667
149,BHM,2008-01-01 10:58:00,10.966666666666667
150,GJT,2008-01-01 10:59:00,10.983333333333333
151,ATW,2008-01-01 10:59:00,10.983333333333333
152,BDL,2008-01-01 10:59:00,10.983333333333333
153,TYS,2008-01-01 11:00:00,11.0
154,EWR,2008-01-01 11:01:00,11.016666666666667
155,IDA,2008-01-01 11:01:00,11.016666666666667
156,OAK,2008-01-01 11:02:00,11.033333333333333
157,IAH,2008-01-01 11:03:00,11.05
158,EWN,2008-01-01 11:04:00,11.066666666666666
159,SMF,2008-01-01 11:04:00,11.066666666666666
160,CAE,2008-01-01 11:05:00,11.083333333333334
161,ILM,2008-01-01 11:05:00,11.083333333333334
162,AMA,2008-01-01 11:06:00,11.1
163,OKC,2008-01-01 11:06:00,11.1
164,PIA,2008-01-01 11:07:00,11.116666666666667
165,BMI,2008-01-01 11:08:00,11.133333333333333
166,TUS,2008-01-01 11:09:00,11.15
167,SEA,2008-01-01 11:09:00,11.15
168,PHL,2008-01-01 11:10:00,11.166666666666666
169,MOB,2008-01-01 11:11:00,11.183333333333334
170,OAK,2008-01-01 11:13:00,11.216666666666667
171,PSP,2008-01-01 11:14:00,11.233333333333333
172,BMI,2008-01-01 11:14:00,11.233333333333333
173,SNA,2008-01-01 11:14:00,11.233333333333333
174,PIA,2008-01-01 11:14:00,11.233333333333333
175,LAW,2008-01-01 11:14:00,11.233333333333333
176,ABI,2008-01-01 11:15:00,11.25
177,TLH,2008-01-01 11:15:00,11.25
178,SHV,2008-01-01 11:17:00,11.283333333333333
179,SYR,2008-01-01 11:17:00,11.283333333333333
180,HPN,2008-01-01 11:20:00,11.333333333333334
181,FSD,2008-01-01 11:20:00,11.333333333333334
182,ACV,2008-01-01 11:20:00,11.333333333333334
