Год,Территория,Поголовье скота,Т. год,Осадки. год,Горимость
2019,Волгоград,,9.225889337,342.25,0.02
2020,Волгоград,,9.75,195.5,0.03
2001,Калмыкия,2013.5,11.71038946,261.5,0.05
2002,Калмыкия,2291,11.11734863,335.75,0.10
2003,Калмыкия,2537,10.32193196,266.3,0.01
2004,Калмыкия,2840.9,11.91618496,228.5,0.02
2005,Калмыкия,3334.1,11.78873432,321.05,0.04
2006,Калмыкия,4271.2,11.06413274,290.6,0.11
2007,Калмыкия,4893.3,12.09582469,197.1,0.09
2008,Калмыкия,4261.7,11.0999878,291.1,0.01
2009,Калмыкия,4953.1,11.27723566,327.05,0.00
2010,Калмыкия,5173,12.63046691,274.2,0.02
2011,Калмыкия,5726,10.5828901,343.8,0.06
2012,Калмыкия,5989.7,11.29773019,245.6,0.00
2013,Калмыкия,5977.6,11.87826645,337.55,0.00
2014,Калмыкия,5624.3,11.39392633,180,0.02
2015,Калмыкия,5453.9,12.08442972,232.45,0.04
2016,Калмыкия,5306.1,11.6170994,285.75,0.00
2017,Калмыкия,5691.1,11.89859319,191.9,0.02
2018,Калмыкия,5090.6,11.78166699,186.2,0.01
2019,Калмыкия,,12.23524354,208.2,0.01
2020,Калмыкия,,12.55,156.5,0.00
