OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1853856,"3899,587984","4610,528886","3706,288284","4585,639404","4444,617822","4723,43215","4585,487605","4132,966333","3857,947294","4141,02523","5347,721111","4448,163302","5404,193173","4340,575821","3712,554091","4762,167526","4475,017062","4410,670497","4861,366602","3982,216214","4344,534468"
-1850408,"5214,27359","5038,456534","3935,654964","4662,55548","4963,881181","4949,671147","4310,670322","4478,474836","3528,479572","4636,448428","5067,398343","5090,943175","5256,762523","5227,847594","3421,832707","5653,244169","4994,480415","4535,531953","5100,620725","4181,936","4717,635624"
-3389541,"3288,025429","4412,939347","3191,484584","3958,668737","2947,155653","4324,778233","4090,663616","3991,605383","3090,809858","2541,091586","2805,465843","2745,903587","2651,504022","2270,955373","2942,434533","4875,713023","3024,40465","2819,594949","2486,22495","2774,238757","1909,435159"
-214840,"2359,636758","3399,967435","2596,870276","2987,371556","2550,326762","2700,939","3242,455122","2484,820706","2827,425029","2482,134864","2830,029803","2413,995581","2311,63207","2085,305791","2529,616052","3631,491214","3106,530719","2239,006347","2412,539376","2181,663061","1670,98135"
-214839,"3129,435697","4299,563511","2990,612702","3697,113436","2867,678968","4082,371217","3577,230901","3603,42093","3066,357105","2461,602967","2702,921788","2488,187207","2457,686082","2143,878593","2466,162214","4322,087957","3339,252886","3169,764007","2242,018784","1895,234014","2332,837305"
-214838,"2021,11718","3023,613059","1998,798771","2454,139464","1864,586201","2545,072139","2524,983899","2637,031784","2288,804948","1911,808855","1983,03773","1990,854782","1818,415606","1595,486767","1934,696036","2968,850114","2591,208537","1813,647422","1878,243116","1866,761147","1488,103169"
-214837,"3502,15236","4412,81409","3528,735888","3793,302233","3607,146413","3528,138505","3722,272092","4008,684041","3330,993878","3110,93433","3261,941806","3331,591178","3105,004163","3290,952288","3362,45859","4590,947552","4070,486095","3239,520292","2823,409316","2946,240532","2901,368749"
-214836,"2808,326367","2956,438628","2941,421084","2895,912079","2647,847014","3198,72372","3010,668905","3073,894235","2927,396786","2365,454779","3081,14579","2529,907427","2908,089391","2599,681363","2357,944074","3037,099252","3126,52488","2712,447383","2917,129037","2420,899689","2196,503704"
-214835,"3659,352019","4229,694778","3276,416019","3634,121594","3313,547183","3856,845527","3555,904455","3394,953651","3113,392615","2881,768296","3368,239657","3191,494003","3072,697364","3329,358092","2639,925753","4183,993037","3756,390087","3430,389072","3343,989404","2585,460657","3186,47468"
-214670,"3225,542816","3579,771073","3319,361194","3671,479733","3459,658631","3786,596557","3640,101909","3640,050198","3492,02128","3240,49739","4028,714639","3291,514031","3654,057348","3395,064456","2982,778789","3445,290272","3438,804223","3311,878167","3745,943098","3171,500154","3009,183838"
