OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
-3397460,"23,77188972","22,71244277","21,48709697","23,78894037","24,21382529","24,58294992","23,23225858","24,89585298","22,9405533","25,12258117","23,47419407","25,1838713","24,14838748","23,92626762","23,69815703","24,29539237","23,89723569","23,51981588","24,04055325","24,70184375"
-3397459,"20,71190484","19,72142919","18,90238094","21,10476208","20,84285736","21,61190542","20,33333365","21,89523824","20,33571466","22,66904799","20,31904793","22,67619101","21,27142906","20,88095284","20,77380975","21,71190484","20,53809547","20,07381026","20,8738095","21,65714296"
-3397458,"21,45952415","20,67619069","19,53809484","21,82142893","21,76666673","22,40476227","21,64523792","22,6666673","21,43095303","23,82619127","21,11904812","23,62381013","22,38571485","22,08095264","21,94047642","22,76190503","21,62857215","21,41904799","21,82619095","22,67142868"
-3397457,"22,63095252","21,88333352","20,76190535","23,06190523","23,04285781","23,63095284","23,05000019","23,71190516","22,56190491","24,89999994","22,34285736","24,6047624","23,50000032","23,41428598","23,16666698","23,8023812","23,12142881","22,70952447","23,19523811","23,9333334"
-3397456,"22,08163316","21,22244971","20,07755116","22,48979596","22,52653095","23,10816356","22,01836804","23,36326599","21,77551024","24,10816383","21,7857151","23,96326583","22,78775569","22,53061267","22,326531","23,14693941","22,34693936","21,85918427","22,4469392","23,16938782"
-3397455,"21,68022009","20,73516523","19,68241765","21,99670366","22,09120926","22,63186866","21,32307713","22,8857146","21,11538491","23,43626433","21,36813222","23,42087936","22,21098929","21,95164886","21,73626386","22,55054973","21,793407","21,24945098","21,94175867","22,6274728"
-3397454,"20,56666692","19,66666667","18,85238139","20,97142855","20,60952377","21,47142919","20,48095258","21,72380956","20,48095258","22,86666679","20,12381045","22,76666705","21,48571396","21,00952403","20,94761976","21,88571485","20,47618993","20,28571447","20,76666641","21,7380956"
-3397453,"20,20952415","19,24285825","18,43333371","20,64761925","20,24285762","21,05714289","19,90476227","21,37619082","19,96666718","22,29523786","19,79523849","22,27142906","20,91904831","20,47619057","20,39523888","21,38095284","19,97619057","19,69047674","20,35714277","21,25714238"
-3397452,"23,07142878","21,99642887","21,01500034","23,23357172","23,34714346","23,89214315","22,33642893","24,2800004","22,18928623","24,28428602","22,68428593","24,64714327","23,07428598","22,91928596","22,65857172","23,52571459","22,83857183","22,05357189","23,15500002","23,79571466"
-3397451,"23,80904802","22,9638099","21,76142883","24,15142879","24,43190524","24,70523847","23,79238129","24,91285776","23,30571461","25,4923816","23,63000043","25,34571482","24,49333388","24,31761964","24,06857179","24,66809584","24,26047649","23,88047663","24,32714335","24,99761957"
