,dates,proportions,probs,airports
95,2008-01-01 10:26:00,31.683168316831683,1,SNA
96,2008-01-01 10:27:00,32.01320132013201,1,BIL
97,2008-01-01 10:27:00,32.34323432343234,1,ASE
98,2008-01-01 10:29:00,32.67326732673268,1,SBA
99,2008-01-01 10:29:00,33.003300330033,1,SAV
100,2008-01-01 10:29:00,33.33333333333333,1,DBQ
101,2008-01-01 10:29:00,33.663366336633665,1,AEX
102,2008-01-01 10:29:00,33.993399339933994,1,PSP
103,2008-01-01 10:32:00,34.32343234323432,1,GFK
104,2008-01-01 10:32:00,34.65346534653465,1,MOT
105,2008-01-01 10:33:00,34.98349834983499,1,MLU
106,2008-01-01 10:33:00,35.31353135313531,1,DLH
107,2008-01-01 10:35:00,35.64356435643564,1,SBP
108,2008-01-01 10:37:00,35.973597359735976,1,LGB
109,2008-01-01 10:37:00,36.303630363036305,1,AVL
110,2008-01-01 10:39:00,36.633663366336634,1,SRQ
111,2008-01-01 10:39:00,36.96369636963696,1,SEA
112,2008-01-01 10:41:00,37.29372937293729,1,SUN
113,2008-01-01 10:43:00,37.62376237623762,1,PIA
114,2008-01-01 10:44:00,37.95379537953795,1,ISP
115,2008-01-01 10:47:00,38.28382838283829,1,IND
116,2008-01-01 10:48:00,38.613861386138616,1,VPS
117,2008-01-01 10:48:00,38.943894389438945,1,CHA
118,2008-01-01 10:48:00,39.273927392739274,1,MHT
119,2008-01-01 10:48:00,39.603960396039604,1,SPS
120,2008-01-01 10:49:00,39.93399339933993,1,PDX
121,2008-01-01 10:52:00,40.26402640264026,1,MGM
122,2008-01-01 10:52:00,40.5940594059406,1,SMF
123,2008-01-01 10:53:00,40.92409240924093,1,FAT
124,2008-01-01 10:55:00,41.254125412541256,1,TYS
125,2008-01-01 10:56:00,41.584158415841586,1,MRY
126,2008-01-01 10:56:00,41.914191419141915,1,PWM
127,2008-01-01 10:56:00,42.244224422442244,1,BMI
128,2008-01-01 10:56:00,42.57425742574257,1,EGE
129,2008-01-01 10:58:00,42.9042904290429,1,PFN
130,2008-01-01 10:58:00,43.23432343234324,1,CWA
131,2008-01-01 10:58:00,43.56435643564357,1,ONT
132,2008-01-01 10:59:00,43.89438943894389,1,GJT
133,2008-01-01 10:59:00,44.224422442244226,1,ATW
134,2008-01-01 11:01:00,44.554455445544555,1,IDA
135,2008-01-01 11:02:00,44.884488448844884,1,OAK
136,2008-01-01 11:02:00,45.21452145214521,1,ALB
137,2008-01-01 11:02:00,45.54455445544555,1,XNA
138,2008-01-01 11:04:00,45.87458745874587,1,EWN
139,2008-01-01 11:05:00,46.2046204620462,1,CAE
140,2008-01-01 11:05:00,46.53465346534654,1,ILM
141,2008-01-01 11:06:00,46.864686468646866,1,SHV
142,2008-01-01 11:08:00,47.194719471947195,1,RAP
143,2008-01-01 11:09:00,47.524752475247524,1,TUS
144,2008-01-01 11:10:00,47.85478547854785,1,RST
145,2008-01-01 11:11:00,48.18481848184818,1,MOB
146,2008-01-01 11:14:00,48.51485148514851,1,LAW
147,2008-01-01 11:15:00,48.84488448844885,1,ABI
148,2008-01-01 11:15:00,49.17491749174918,1,TLH
149,2008-01-01 11:20:00,49.504950495049506,1,HPN
150,2008-01-01 11:20:00,49.834983498349835,1,FSD
151,2008-01-01 11:20:00,50.165016501650165,1,ACV
152,2008-01-01 11:21:00,50.495049504950494,1,CID
153,2008-01-01 11:26:00,50.82508250825083,1,GGG
154,2008-01-01 11:27:00,51.15511551155115,1,RNO
155,2008-01-01 11:28:00,51.48514851485149,1,SWF
156,2008-01-01 11:28:00,51.81518151815182,1,BZN
157,2008-01-01 11:28:00,52.14521452145215,1,LWS
158,2008-01-01 11:29:00,52.475247524752476,1,MTJ
159,2008-01-01 11:30:00,52.8052805280528,1,GTF
160,2008-01-01 11:30:00,53.135313531353134,1,JAC
161,2008-01-01 11:33:00,53.46534653465347,1,AGS
162,2008-01-01 11:36:00,53.79537953795379,1,FWA
163,2008-01-01 11:39:00,54.12541254125413,1,HRL
164,2008-01-01 11:40:00,54.45544554455446,1,PVD
165,2008-01-01 11:42:00,54.78547854785478,1,FNT
166,2008-01-01 11:43:00,55.115511551155116,1,YUM
167,2008-01-01 11:47:00,55.44554455445545,1,BRO
168,2008-01-01 11:48:00,55.775577557755774,1,TYR
169,2008-01-01 11:48:00,56.10561056105611,1,BOI
170,2008-01-01 11:48:00,56.43564356435643,1,GSO
171,2008-01-01 11:50:00,56.76567656765676,1,PSC
172,2008-01-01 11:50:00,57.0957095709571,1,YKM
173,2008-01-01 11:50:00,57.42574257425742,1,SGU
174,2008-01-01 11:51:00,57.755775577557756,1,LSE
175,2008-01-01 11:55:00,58.08580858085809,1,CIC
176,2008-01-01 11:57:00,58.415841584158414,1,LAN
177,2008-01-01 12:03:00,58.745874587458744,1,BFL
178,2008-01-01 12:04:00,59.07590759075908,1,DAB
179,2008-01-01 12:04:00,59.4059405940594,1,MFR
180,2008-01-01 12:08:00,59.73597359735974,1,GEG
181,2008-01-01 12:08:00,60.066006600660074,1,CLL
182,2008-01-01 12:09:00,60.396039603960396,1,OXR
183,2008-01-01 12:09:00,60.726072607260726,1,FCA
184,2008-01-01 12:11:00,61.05610561056105,1,MYR
185,2008-01-01 12:12:00,61.386138613861384,1,PIH
186,2008-01-01 12:13:00,61.71617161716172,1,HDN
187,2008-01-01 12:19:00,62.04620462046204,1,FAR
188,2008-01-01 12:20:00,62.37623762376238,1,SJU
189,2008-01-01 12:20:00,62.70627062706271,1,IYK
190,2008-01-01 12:21:00,63.03630363036304,1,DRO
191,2008-01-01 12:21:00,63.366336633663366,1,GUC
192,2008-01-01 12:22:00,63.6963696369637,1,LNK
193,2008-01-01 12:24:00,64.02640264026402,1,RDM
194,2008-01-01 12:26:00,64.35643564356435,1,EUG
195,2008-01-01 12:26:00,64.68646864686468,1,MOD
196,2008-01-01 12:30:00,65.01650165016501,1,TWF
197,2008-01-01 12:32:00,65.34653465346535,1,MSO
198,2008-01-01 12:33:00,65.67656765676567,1,IPL
199,2008-01-01 12:34:00,66.006600660066,1,SUX
200,2008-01-01 12:35:00,66.33663366336634,1,MLB
201,2008-01-01 12:35:00,66.66666666666666,1,COD
202,2008-01-01 12:37:00,66.996699669967,1,HLN
203,2008-01-01 12:38:00,67.32673267326733,1,SLE
204,2008-01-01 12:39:00,67.65676567656766,1,CEC
205,2008-01-01 12:40:00,67.98679867986799,1,LRD
206,2008-01-01 12:43:00,68.31683168316832,1,CPR
207,2008-01-01 12:47:00,68.64686468646865,1,FAY
208,2008-01-01 12:58:00,68.97689768976898,1,MDT
209,2008-01-01 12:59:00,69.3069306930693,1,ABE
210,2008-01-01 13:00:00,69.63696369636963,1,CSG
211,2008-01-01 13:07:00,69.96699669966998,1,TRI
212,2008-01-01 13:12:00,70.29702970297029,1,GNV
213,2008-01-01 13:12:00,70.62706270627062,1,SMX
214,2008-01-01 13:31:00,70.95709570957096,1,RFD
215,2008-01-01 13:34:00,71.28712871287128,1,TVC
216,2008-01-01 13:42:00,71.61716171617162,1,ROW
